id,title,level,slug,num_part,full_textkey,full_audioSrc,topic_id,section_id
1,1. First snowfall,A1,1-first-snowfall,21,"Today is November 26th.
It snowed all day today.
The snow is beautiful.
The snow finally stopped.
My sister and I are excited.
My mom doesn't like the snow.
My mom has to shovel the driveway.
My sister and I get to play.
I put on my hat and mittens.
My mom puts on my scarf.
My mom zippers my jacket.
My sister puts on her hat and mittens.
My mom puts on her scarf.
My mom zippers her jacket.
My sister and I go outside.
We begin to make a snowman.
My mom starts to shovel the snow.
My sister and I make snow angels.
My sister and I throw snowballs.
It starts to snow again.
We go inside for hot chocolate.
",https://dailydictation.com/upload/general-english/1-first-snowfall-2019-03-14-04-19-38/0-1-first-snowfall.mp3,1,1
2,2. Jessica's first day of school,A1,2-jessicas-first-day-of-school,25,"Today is Jessica's first day of kindergarten.
Jessica and her parents walk to school.
Jessica's mom walks with her to her classroom.
Jessica meets her teacher.
His name is Mr. Parker.
The school bell rings at 8:45 a.m.
Jessica hugs and kisses her mom goodbye.
Jessica's mom says ""I love you!"".
At 9 a.m, Jessica stands for the national anthem.
Mr. Parker calls out children's names.
Each child yells back ""here!"".
Mr. Parker teaches them about letters.
Mr. Parker teaches them about numbers.
At 10:15 a.m, the students have recess.
Recess is fun.
The students get to play and eat.
At 10:30 a.m.
the students go to gym class.
At 11:15 a.m.
the students return to Mr. Parker's classroom.
Mr. Parker tells the students to sit on the carpet.
Mr. Parker reads the students a story.
Mr. Parker teaches the students a song.
The lunch bell rings.
Jessica's first day of school is over.
",https://dailydictation.com/upload/general-english/2-jessicas-first-day-of-school-2019-03-15-00-20-34/0-2-jessicas-first-day-of-school.mp3,1,1
3,3. My flower garden,A1,3-my-flower-garden,19,"My name is Anne.
I love flowers.
I have a flower garden.
My garden is in front of my house.
My neighbor has a garden too.
My garden has different types of flowers.
I have roses in my garden.
I have tulips in my garden.
I have petunias in my garden.
My garden has different colors.
I plant red flowers.
I plant orange flowers.
I plant blue flowers.
I plant purple flowers.
I take care of my garden.
I water my garden every day.
I kill the weeds in my garden.
I kill insects that eat my flowers.
I love my beautiful garden.
",https://dailydictation.com/upload/general-english/3-my-flower-garden-2019-03-15-01-07-24/0-3-my-flower-garden.mp3,1,1
4,4. Going camping,A1,4-going-camping,22,"The Bright family went camping on the weekend.
The Bright family went to Silent Lake.
The Bright family left on Friday.
They camped for three days.
The Bright family brought a big tent.
They brought a lot of food.
They brought insect repellent.
The Bright family had a campfire on Friday.
They roasted marshmallows.
They sang campfire songs.
On Saturday they went canoeing.
On Saturday they went fishing.
On Saturday they went swimming.
They went hiking on Sunday.
The Bright family saw many birds.
They saw blue jays.
They saw hummingbirds.
The Bright family saw many animals.
They saw a raccoon.
They saw a squirrel.
But they didn't see a bear.
The Bright family had a fun vacation.
",https://dailydictation.com/upload/general-english/4-going-camping-2019-03-15-01-11-00/0-4-going-camping.mp3,1,1
5,5. My house,A1,5-my-house,21,"I live in a house.
My house is small.
My house has two bedrooms.
My mom and dad sleep in one bedroom.
My sister and I share the other bedroom.
My house has a kitchen.
My mom and dad cook dinner there every night.
My house has a living room.
My family watches television there every night.
My house has a big bathroom.
My house has a lot of closets.
My house has a basement.
My dad has a workshop in the basement.
My dad makes wood furniture.
My house does not have a second floor.
My house has a garage.
My house has a big backyard.
My backyard has a maple tree.
My backyard has a swimming pool.
My backyard has a vegetable garden.
My family likes our house.
",https://dailydictation.com/upload/general-english/5-my-house-2019-03-15-01-15-48/0-5-my-house.mp3,1,1
6,6. My first pet,A1,6-my-first-pet,21,"My name is Sarah.
I am 14 years old.
I have a pet cat.
My cat's name is Milo.
My cat is black and white.
Milo's paws are white.
Milo's body is black.
She is very cute.
Milo's fur is very soft.
Milo was a very small kitten.
Milo is a very big cat.
Milo cannot have kittens.
She is fixed.
Milo likes to eat.
Milo likes to play outside
Milo likes to hunt for birds.
Milo likes to hunt for mice.
She likes her ears scratched.
Milo likes to sit in my lap.
Milo likes to sleep on my bed.
Milo is a good pet.
",https://dailydictation.com/upload/general-english/6-my-first-pet-2019-03-15-01-18-08/0-6-my-first-pet.mp3,1,1
7,7. Jennifer the firefighter,A1,7-jennifer-the-firefighter,17,"Jennifer Smith is a firefighter.
She is one of the first female firefighters.
Jennifer works hard every day.
Jennifer exercises every day.
She lifts weights.
She wants her muscles to be very strong.
She saves people's lives every day.
She is very strong.
Jennifer is married.
Her husband is a school teacher.
Jennifer's husband is proud of her.
Jennifer is a mother.
She has two daughters.
Jennifer's daughters are proud of her too.
Jennifer is happy being a firefighter.
Jennifer is happy being a wife.
Jennifer is happy being a mother.
",https://dailydictation.com/upload/ielts-listening/7-jennifer-the-firefighter-2019-03-18-15-49-25/0-7-jennifer-the-firefighter.mp3,1,1
8,8. Mark's big game,A1,8-marks-big-game,20,"Mark's favorite sport is hockey.
He is 15 years old.
Mark practices 3 times a week.
Practices are two hours long.
Mark plays one game a week.
Mark is a good hockey player.
He plays on Friday nights.
Friday night hockey games are popular.
Mark's family watches him play.
Mark's friends watch him play too.
There are always many fans.
Tonight is the big game.
Coaches are coming to watch Mark play.
Mark wants to play in the National Hockey League.
Mark wants to make a lot of money.
It is very hard to play in the NHL.
Mark's parents want him to go to college.
They want him to have an education.
They want Mark to be successful.
They want Mark to be happy.
",https://dailydictation.com/upload/general-english/8-marks-big-game-2019-03-19-16-02-37/0-8-marks-big-game.mp3,1,1
9,9. The Easter Egg Hunt,A1,9-the-easter-egg-hunt,23,"Samantha is going to an Easter egg hunt.
Tracey is going to an Easter egg hunt.
The Easter egg hunt is at Sydney's house.
It is going to be fun.
Sydney's mom hid chocolate eggs.
Sydney's mom hid chocolate bunnies.
Everybody is here.
Everybody has an Easter basket.
The Easter egg hunt can start.
Everybody must close their eyes.
One, two, three, go!
Samantha finds an Easter egg.
The Easter egg is behind a table.
She puts it in her basket.
Tracey finds a chocolate Easter bunny.
It's under the couch.
Tracey puts it in her basket.
Sydney finds a chocolate Easter bunny too.
It's in front of the television.
She puts it in her basket.
Everybody finds lots of chocolate.
Everybody shares their chocolate.
Samantha, Tracey, and Sydney love Easter.
",https://dailydictation.com/upload/general-english/9-the-easter-egg-hunt-2019-03-19-16-12-06/0-9-the-easter-egg-hunt.mp3,1,1
10,10. Joe's first car,A1,10-joes-first-car,21,"Joe is 18 years old.
Joe works at McDonald's.
Joe saves all his money.
Joe has $2500 in the bank.
He wants to buy a sports car.
Joe starts to look for a new car.
Joe looks in the newspaper.
Joe looks in magazines.
Joe finds a car he likes.
Joe goes to see the car with his dad.
He really likes it.
Joe doesn't have enough money.
Joe's dad tells him to keep saving his money.
Joe wants this car a lot.
Joe asks his dad to help him.
Joe and his dad make a deal.
Joe's dad will lend him the money.
Joe must work hard.
He must pay the money back to his dad.
Joe is very happy.
Joe owns his first car.
",https://dailydictation.com/upload/general-english/10-joes-first-car-2019-03-19-23-56-09/0-10-joes-first-car.mp3,1,1
